vintage,band,n,defaults,predicted_pd,realised_pd,realised_low,realised_high,ratio,sufficient
2004,0,121,7,0.08222,0.05785,0.0283,0.11461,0.7036,True
2004,1,122,5,0.03794,0.04098,0.01763,0.09236,1.0803,True
2004,2,110,2,0.02537,0.01818,0.005,0.06388,0.7166,True
2004,3,106,2,0.01823,0.01887,0.00519,0.0662,1.0352,True
2004,4,128,3,0.0132,0.02344,0.008,0.06664,1.7752,True
2004,5,114,1,0.00955,0.00877,0.00155,0.04802,0.9181,True
2004,6,120,0,0.00704,0.0,0.0,0.03102,0.0,True
2004,7,131,0,0.00507,0.0,0.0,0.02849,0.0,True
2004,8,121,2,0.00352,0.01653,0.00454,0.05827,4.694,True
2004,9,138,0,0.00189,0.0,0.0,0.02708,0.0,True
2005,0,119,14,0.07968,0.11765,0.07139,0.18782,1.4765,True
2005,1,124,3,0.03784,0.02419,0.00826,0.06872,0.6394,True
2005,2,131,4,0.02543,0.03053,0.01194,0.07588,1.2006,True
2005,3,124,4,0.01812,0.03226,0.01261,0.08001,1.7803,True
2005,4,127,2,0.01303,0.01575,0.00433,0.0556,1.2085,True
2005,5,117,0,0.0094,0.0,0.0,0.03179,0.0,True
2005,6,107,1,0.00699,0.00935,0.00165,0.05105,1.3365,True
2005,7,113,1,0.00506,0.00885,0.00156,0.04843,1.7506,True
2005,8,116,2,0.00352,0.01724,0.00474,0.06069,4.8998,True
2005,9,104,1,0.00178,0.00962,0.0017,0.05247,5.4012,True
2006,0,620,85,0.08896,0.1371,0.11225,0.16641,1.5411,True
2006,1,540,37,0.0383,0.06852,0.05012,0.09302,1.7889,True
2006,2,474,28,0.02591,0.05907,0.04118,0.08405,2.2798,True
2006,3,351,11,0.01824,0.03134,0.01759,0.05524,1.7182,True
2006,4,435,19,0.01314,0.04368,0.02814,0.06721,3.3253,True
2006,5,343,10,0.00953,0.02915,0.01591,0.05283,3.0595,True
2006,6,302,11,0.00703,0.03642,0.02046,0.06404,5.1847,True
2006,7,373,7,0.00514,0.01877,0.00912,0.03823,3.652,True
2006,8,289,2,0.00345,0.00692,0.0019,0.02488,2.0063,True
2006,9,273,4,0.00194,0.01465,0.00571,0.03706,7.5667,True
2007,0,761,235,0.09034,0.3088,0.27701,0.34252,3.4182,True
2007,1,527,86,0.03821,0.16319,0.13409,0.19716,4.271,True
2007,2,490,59,0.02534,0.12041,0.09451,0.15222,4.7515,True
2007,3,409,39,0.01824,0.09535,0.07054,0.1277,5.2264,True
2007,4,417,32,0.01312,0.07674,0.05488,0.10633,5.8492,True
2007,5,332,29,0.00946,0.08735,0.06151,0.12263,9.2291,True
2007,6,319,17,0.00703,0.05329,0.03354,0.08368,7.5841,True
2007,7,305,12,0.00504,0.03934,0.02265,0.0675,7.8123,True
2007,8,238,10,0.00352,0.04202,0.02298,0.0756,11.939,True
2007,9,202,7,0.00186,0.03465,0.01689,0.06979,18.6149,True
2008,0,409,81,0.08054,0.19804,0.16231,0.2394,2.4589,True
2008,1,406,39,0.03832,0.09606,0.07107,0.12862,2.5069,True
2008,2,449,48,0.02547,0.1069,0.08158,0.13889,4.1977,True
2008,3,408,31,0.01812,0.07598,0.05404,0.10583,4.1932,True
2008,4,417,21,0.01316,0.05036,0.03317,0.07576,3.8267,True
2008,5,401,20,0.00946,0.04988,0.03252,0.07578,5.2749,True
2008,6,397,16,0.00707,0.0403,0.02496,0.06446,5.7007,True
2008,7,404,11,0.00509,0.02723,0.01527,0.04809,5.3535,True
2008,8,371,9,0.00348,0.02426,0.01281,0.04545,6.9758,True
2008,9,338,6,0.0019,0.01775,0.00816,0.03818,9.3638,True
2015,0,434,17,0.08734,0.03917,0.0246,0.06183,0.4485,True
2015,1,426,6,0.03842,0.01408,0.00647,0.03038,0.3666,True
2015,2,404,4,0.02564,0.0099,0.00386,0.02518,0.3861,True
2015,3,401,3,0.01825,0.00748,0.00255,0.02176,0.41,True
2015,4,573,4,0.01297,0.00698,0.00272,0.01781,0.5382,True
2015,5,424,4,0.00949,0.00943,0.00367,0.024,0.9936,True
2015,6,467,1,0.00701,0.00214,0.00038,0.01203,0.3055,True
2015,7,456,1,0.00522,0.00219,0.00039,0.01232,0.4198,True
2015,8,259,2,0.00351,0.00772,0.00212,0.02771,2.2012,True
2015,9,156,2,0.00211,0.01282,0.00352,0.04554,6.0829,True
2016,0,392,15,0.08505,0.03827,0.02332,0.06217,0.4499,True
2016,1,388,11,0.03802,0.02835,0.0159,0.05005,0.7457,True
2016,2,374,6,0.02558,0.01604,0.00737,0.03455,0.6272,True
2016,3,377,4,0.018,0.01061,0.00413,0.02696,0.5894,True
2016,4,529,3,0.01302,0.00567,0.00193,0.01654,0.4355,True
2016,5,447,2,0.00949,0.00447,0.00123,0.01617,0.4713,True
2016,6,452,0,0.00697,0.0,0.0,0.00843,0.0,True
2016,7,486,2,0.00516,0.00412,0.00113,0.01488,0.7974,True
2016,8,317,0,0.00346,0.0,0.0,0.01197,0.0,True
2016,9,238,0,0.00206,0.0,0.0,0.01588,0.0,True
2017,0,216,6,0.08803,0.02778,0.01279,0.05927,0.3156,True
2017,1,186,3,0.03841,0.01613,0.0055,0.04634,0.4199,True
2017,2,198,3,0.02569,0.01515,0.00517,0.04359,0.5898,True
2017,3,202,1,0.018,0.00495,0.00087,0.0275,0.2751,True
2017,4,263,1,0.01298,0.0038,0.00067,0.02122,0.293,True
2017,5,231,1,0.00952,0.00433,0.00076,0.02411,0.4549,True
2017,6,256,2,0.00701,0.00781,0.00215,0.02803,1.1149,True
2017,7,205,1,0.00526,0.00488,0.00086,0.02711,0.9272,True
2017,8,135,0,0.0034,0.0,0.0,0.02767,0.0,True
2017,9,102,0,0.0021,0.0,0.0,0.0363,0.0,True
