vintage,characteristic,csi,status
2004,credit_score,0.0082,ok
2004,orig_cltv,0.015,ok
2004,dti,0.0039,ok
2004,orig_rate,0.0042,ok
2004,mi_pct,0.0,ok
2004,purpose,0.0051,ok
2004,property_type,0.0026,ok
2004,state,0.0163,ok
2005,credit_score,0.0064,ok
2005,orig_cltv,0.0113,ok
2005,dti,0.0118,ok
2005,orig_rate,0.0027,ok
2005,mi_pct,0.0005,ok
2005,purpose,0.0034,ok
2005,property_type,0.0034,ok
2005,state,0.011,ok
2006,credit_score,0.0258,ok
2006,orig_cltv,0.1124,warn
2006,dti,0.002,ok
2006,orig_rate,0.0015,ok
2006,mi_pct,0.0449,ok
2006,purpose,0.038,ok
2006,property_type,0.0015,ok
2006,state,0.0209,ok
2007,credit_score,0.0627,ok
2007,orig_cltv,0.2155,warn
2007,dti,0.0037,ok
2007,orig_rate,0.0013,ok
2007,mi_pct,0.0741,ok
2007,purpose,0.0487,ok
2007,property_type,0.0052,ok
2007,state,0.0349,ok
2008,credit_score,0.0043,ok
2008,orig_cltv,0.0341,ok
2008,dti,0.0053,ok
2008,orig_rate,0.0014,ok
2008,mi_pct,0.0256,ok
2008,purpose,0.0002,ok
2008,property_type,0.0014,ok
2008,state,0.0093,ok
2015,credit_score,0.1802,warn
2015,orig_cltv,0.0061,ok
2015,dti,0.002,ok
2015,orig_rate,8.3308,alert
2015,mi_pct,0.0024,ok
2015,purpose,0.0271,ok
2015,property_type,0.0014,ok
2015,state,0.0055,ok
2016,credit_score,0.2493,warn
2016,orig_cltv,0.0159,ok
2016,dti,0.0006,ok
2016,orig_rate,8.467,alert
2016,mi_pct,0.0003,ok
2016,purpose,0.0369,ok
2016,property_type,0.0036,ok
2016,state,0.0054,ok
2017,credit_score,0.2106,warn
2017,orig_cltv,0.0108,ok
2017,dti,0.0024,ok
2017,orig_rate,8.5986,alert
2017,mi_pct,0.0027,ok
2017,purpose,0.0153,ok
2017,property_type,0.0057,ok
2017,state,0.0093,ok
