vintage,month_on_book,cumulative_defaults,cumulative_default_rate,cohort
2004,1,0,0.0,3999
2004,2,0,0.0,3999
2004,3,0,0.0,3999
2004,4,0,0.0,3999
2004,5,0,0.0,3999
2004,6,0,0.0,3999
2004,7,0,0.0,3999
2004,8,4,0.001,3999
2004,9,11,0.00275,3999
2004,10,14,0.0035,3999
2004,11,22,0.0055,3999
2004,12,27,0.00675,3999
2004,13,27,0.00675,3999
2004,14,29,0.00725,3999
2004,15,38,0.0095,3999
2004,16,43,0.01075,3999
2004,17,52,0.013,3999
2004,18,57,0.01425,3999
2004,19,61,0.01525,3999
2004,20,66,0.0165,3999
2004,21,67,0.01675,3999
2004,22,72,0.018,3999
2004,23,75,0.01875,3999
2004,24,81,0.02026,3999
2005,1,0,0.0,4000
2005,2,0,0.0,4000
2005,3,0,0.0,4000
2005,4,0,0.0,4000
2005,5,0,0.0,4000
2005,6,0,0.0,4000
2005,7,0,0.0,4000
2005,8,2,0.0005,4000
2005,9,7,0.00175,4000
2005,10,12,0.003,4000
2005,11,19,0.00475,4000
2005,12,22,0.0055,4000
2005,13,26,0.0065,4000
2005,14,30,0.0075,4000
2005,15,37,0.00925,4000
2005,16,43,0.01075,4000
2005,17,50,0.0125,4000
2005,18,57,0.01425,4000
2005,19,62,0.0155,4000
2005,20,66,0.0165,4000
2005,21,73,0.01825,4000
2005,22,79,0.01975,4000
2005,23,84,0.021,4000
2005,24,88,0.022,4000
2006,1,0,0.0,4000
2006,2,0,0.0,4000
2006,3,0,0.0,4000
2006,4,0,0.0,4000
2006,5,0,0.0,4000
2006,6,0,0.0,4000
2006,7,0,0.0,4000
2006,8,9,0.00225,4000
2006,9,19,0.00475,4000
2006,10,33,0.00825,4000
2006,11,45,0.01125,4000
2006,12,66,0.0165,4000
2006,13,77,0.01925,4000
2006,14,89,0.02225,4000
2006,15,101,0.02525,4000
2006,16,120,0.03,4000
2006,17,128,0.032,4000
2006,18,142,0.0355,4000
2006,19,151,0.03775,4000
2006,20,164,0.041,4000
2006,21,176,0.044,4000
2006,22,190,0.0475,4000
2006,23,201,0.05025,4000
2006,24,214,0.0535,4000
2007,1,0,0.0,4000
2007,2,0,0.0,4000
2007,3,0,0.0,4000
2007,4,0,0.0,4000
2007,5,0,0.0,4000
2007,6,0,0.0,4000
2007,7,0,0.0,4000
2007,8,33,0.00825,4000
2007,9,60,0.015,4000
2007,10,87,0.02175,4000
2007,11,113,0.02825,4000
2007,12,145,0.03625,4000
2007,13,179,0.04475,4000
2007,14,207,0.05175,4000
2007,15,241,0.06025,4000
2007,16,271,0.06775,4000
2007,17,302,0.0755,4000
2007,18,331,0.08275,4000
2007,19,374,0.0935,4000
2007,20,402,0.1005,4000
2007,21,431,0.10775,4000
2007,22,467,0.11675,4000
2007,23,492,0.123,4000
2007,24,526,0.1315,4000
2008,1,0,0.0,4000
2008,2,0,0.0,4000
2008,3,0,0.0,4000
2008,4,0,0.0,4000
2008,5,0,0.0,4000
2008,6,0,0.0,4000
2008,7,0,0.0,4000
2008,8,19,0.00475,4000
2008,9,38,0.0095,4000
2008,10,56,0.014,4000
2008,11,75,0.01875,4000
2008,12,84,0.021,4000
2008,13,100,0.025,4000
2008,14,123,0.03075,4000
2008,15,142,0.0355,4000
2008,16,155,0.03875,4000
2008,17,172,0.043,4000
2008,18,187,0.04675,4000
2008,19,204,0.051,4000
2008,20,216,0.054,4000
2008,21,230,0.0575,4000
2008,22,251,0.06275,4000
2008,23,265,0.06625,4000
2008,24,282,0.0705,4000
2015,1,0,0.0,4000
2015,2,0,0.0,4000
2015,3,0,0.0,4000
2015,4,0,0.0,4000
2015,5,0,0.0,4000
2015,6,0,0.0,4000
2015,7,0,0.0,4000
2015,8,4,0.001,4000
2015,9,7,0.00175,4000
2015,10,9,0.00225,4000
2015,11,11,0.00275,4000
2015,12,12,0.003,4000
2015,13,15,0.00375,4000
2015,14,18,0.0045,4000
2015,15,22,0.0055,4000
2015,16,25,0.00625,4000
2015,17,28,0.007,4000
2015,18,29,0.00725,4000
2015,19,32,0.008,4000
2015,20,35,0.00875,4000
2015,21,36,0.009,4000
2015,22,38,0.0095,4000
2015,23,43,0.01075,4000
2015,24,44,0.011,4000
2016,1,0,0.0,4000
2016,2,0,0.0,4000
2016,3,0,0.0,4000
2016,4,0,0.0,4000
2016,5,0,0.0,4000
2016,6,0,0.0,4000
2016,7,0,0.0,4000
2016,8,2,0.0005,4000
2016,9,3,0.00075,4000
2016,10,6,0.0015,4000
2016,11,8,0.002,4000
2016,12,14,0.0035,4000
2016,13,16,0.004,4000
2016,14,18,0.0045,4000
2016,15,18,0.0045,4000
2016,16,19,0.00475,4000
2016,17,20,0.005,4000
2016,18,23,0.00575,4000
2016,19,24,0.006,4000
2016,20,27,0.00675,4000
2016,21,33,0.00825,4000
2016,22,37,0.00925,4000
2016,23,41,0.01025,4000
2016,24,43,0.01075,4000
2017,1,0,0.0,1994
2017,2,0,0.0,1994
2017,3,0,0.0,1994
